iter	RMSE
0	0.001246197664
1	0.0009842304347
2	0.0007846234678
3	0.0006193894617
4	0.0005018882307
5	0.0004149450187
6	0.0003546722835
7	0.0003102354261
8	0.0002800700579
9	0.0002603087361
10	0.0002488981486
11	0.0002402800417
12	0.0002342731997
13	0.0002314664046
14	0.0002292331699
15	0.0002279670657
16	0.0002267651455
17	0.0002250967027
18	0.0002236362193
19	0.0002222431742
20	0.000219937465
21	0.0002188638317
22	0.0002175333329
23	0.0002162702867
24	0.0002144709917
25	0.0002133675831
26	0.0002123570515
27	0.0002108386633
28	0.0002086979153
29	0.0002067714131
30	0.0002066757637
31	0.0002059582676
32	0.0002055656265
33	0.0002052617472
34	0.000203701538
35	0.0002001115924
36	0.0001990031212
37	0.0001973414637
38	0.0001956965871
39	0.0001947516503
40	0.0001929322121
41	0.0001911058208
42	0.0001909458505
43	0.0001893856982
44	0.0001881649057
45	0.0001871085116
46	0.0001860653153
47	0.0001846874476
48	0.0001845420084
49	0.0001829950948
50	0.0001818392752
51	0.0001806228174
52	0.0001801633579
53	0.0001791180851
54	0.0001776818675
55	0.000176528598
56	0.0001757869365
57	0.0001742482419
58	0.0001732220716
59	0.000172490689
60	0.0001724243716
61	0.0001716338364
62	0.0001714633253
63	0.0001711648838
64	0.0001710030199
65	0.0001703879221
66	0.0001698059171
67	0.0001696440456
68	0.0001690697735
69	0.0001684411474
70	0.0001675187568
71	0.0001657337411
72	0.0001645003171
73	0.0001637418822
74	0.0001626017718
75	0.0001621780558
76	0.0001612540552
77	0.0001605774971
78	0.0001602492907
79	0.0001594428778
80	0.0001587448465
81	0.0001579648061
82	0.0001575075349
83	0.0001566766816
84	0.0001566031201
85	0.0001557648222
86	0.0001550760421
87	0.0001549178785
88	0.000154861746
89	0.0001540527617
90	0.0001537889015
91	0.0001536523004
92	0.0001531478056
93	0.0001526514631
94	0.0001521353825
95	0.0001519436159
96	0.0001512796146
97	0.0001505043914
98	0.0001499873668
99	0.0001493918083
